Designator,Mid X,Mid Y,Rotation,Layer
C1,121.335,-89.892501,270.0,top
C10,109.73,-72.3,180.0,top
C11,114.75,-73.75,0.0,top
C12,114.75,-76.25,0.0,top
C13,111.65,-42.7,180.0,top
C14,111.85,-40.35,0.0,top
C15,108.05,-37.45,0.0,top
C16,107.925,-39.9,180.0,top
C2,122.835,-89.892501,270.0,top
C3,119.085,-85.067501,180.0,top
C4,128.15,-91.5625,0.0,top
C5,124.4,-86.6625,90.0,top
C6,125.9,-86.6625,90.0,top
C7,134.3875,-91.3125,180.0,top
C8,134.4375,-84.9625,180.0,top
C9,109.77,-74.65,180.0,top
D1,137.4875,-91.1625,0.0,top
J1,111.34,-51.3125,90.0,top
J2,127.55,-65.25,90.0,top
J4,102.725,-36.2,90.0,top
J5,127.55,-37.2,90.0,top
J6,101.25,-77.999998,90.0,top
L1,139.2875,-87.9125,270.0,top
R1,108.625,-59.0,0.0,top
R12,119.085,-92.117501,180.0,top
R13,119.085,-90.667501,0.0,top
R14,128.15,-85.9125,180.0,top
R15,128.15,-84.4625,0.0,top
R16,132.3875,-86.5125,0.0,top
R8,121.05,-54.1,0.0,top
R9,120.975,-48.6,0.0,top
U1,118.85,-87.8625,90.0,top
U2,128.3875,-88.7125,270.0,top
U3,135.7938,-87.9625,270.0,top
